num_episodes,train_test_rewards,kl_loss,train_info_final_performance,train_rewards,train_info_final_normalized_performance,eval_info_avarage_normalized_performance,reward_loss,eval_test_rewards,num_steps,train_info_avarage_performance,train_info_sum_normalized_performance,eval_info_final_normalized_performance,eval_info_sum_performance,train_info_sum_performance,eval_info_avarage_performance,train_test_episodes,observation_loss,eval_info_final_performance,eval_test_episodes,train_info_avarage_normalized_performance,eval_info_sum_normalized_performance
329,,3.8552990841865538,,16.02323599939387,,,8.949274826591135e-05,,32576,,,,,,,,57.093397331237796,,,,
338,,3.8628119039535522,,16.319752833752588,,,8.733039958315203e-05,,33467,,,,,,,,57.61286766052246,,,,
347,,3.8836986017227173,,14.10655470651184,,,9.75362673489144e-05,,34358,,,,,,,,57.453700370788575,,,,
356,,3.8919008803367614,,16.837030237008047,,,8.856956854288001e-05,,35249,,,,,,,,57.62970108032226,,,,
365,,3.8983849835395814,,15.652421542759978,,,8.644715824630112e-05,,36140,,,,,,,,57.72165672302246,,,,
374,16.255045121598496,3.901427321434021,0.16584025,15.937744622508948,0.21039502,0.14358525,9.573453400662401e-05,14.528397016020332,37031,0.16255045,19.970285,0.16413231,14.528397,16.255045,0.14528397,81,58.503604621887206,0.15160598,90,0.19970283,14.358525
383,,3.9084805274009704,,16.114574079024848,,,8.56386259329156e-05,,37922,,,,,,,,58.880716514587405,,,,
392,,3.904896528720856,,15.727626168064976,,,8.463724017929053e-05,,38813,,,,,,,,57.92585178375244,,,,
401,,3.925030000209808,,15.584136073142652,,,8.644217108667362e-05,,39704,,,,,,,,58.46350074768066,,,,
410,,3.926974267959595,,15.650430532063517,,,9.304405357397627e-05,,40595,,,,,,,,59.10956527709961,,,,
419,,3.922229483127594,,15.80327172849327,,,8.975378241302679e-05,,41486,,,,,,,,58.97220775604248,,,,
428,,3.928021955490112,,14.341259815455807,,,9.862944913038518e-05,,42377,,,,,,,,58.80705497741699,,,,
437,,3.948050971031189,,15.133989789124996,,,8.752835528866854e-05,,43268,,,,,,,,58.94310577392578,,,,
446,,3.99806489944458,,15.194917075662106,,,0.00010311735917639453,,44159,,,,,,,,62.50185119628906,,,,
455,,3.957597815990448,,16.42372248023373,,,9.451479305425891e-05,,45050,,,,,,,,60.20114120483399,,,,
464,15.432782437059311,3.957260365486145,0.1641739,17.372178448745213,0.20497917,0.22256991,8.77659248362761e-05,16.95862889354244,45941,0.15432784,17.29786,0.2809643,16.958628,15.432781,0.16958629,99,58.95824180603027,0.1875533,108,0.17297858,22.256994
473,,3.9540891742706297,,17.29593863319296,,,8.902213074179599e-05,,46832,,,,,,,,58.665835533142086,,,,
482,,3.964280378818512,,15.88050538086895,,,8.882718047971138e-05,,47723,,,,,,,,58.28239784240723,,,,
491,,3.9847533440589906,,15.570059825901305,,,9.578193694324e-05,,48614,,,,,,,,59.822804565429685,,,,
500,,4.00283168554306,,15.790222289973691,,,9.139956222497858e-05,,49505,,,,,,,,59.5461417388916,,,,
509,,3.9976297640800476,,15.479124025611542,,,8.632723951450316e-05,,50396,,,,,,,,60.26114955902099,,,,
518,,3.983757371902466,,15.839564416287708,,,8.89902143535437e-05,,51287,,,,,,,,59.47813426971435,,,,
527,,3.9885513949394227,,14.826824009160317,,,8.202319506381173e-05,,52178,,,,,,,,59.31097930908203,,,,
536,,3.985231912136078,,14.792040047228474,,,8.986109700344969e-05,,53069,,,,,,,,59.214670753479005,,,,
545,,3.9781067681312563,,15.291860857185055,,,9.55463681020774e-05,,53960,,,,,,,,59.04927444458008,,,,
554,15.012960322526002,3.9864073753356934,0.15793091,15.290159054995863,0.18468888,0.15942779,9.532540305372095e-05,15.015846529866252,54851,0.15012962,15.933399,0.18940212,15.015847,15.012961,0.15015846,117,59.23725994110107,0.15938109,126,0.15933399,15.94278
563,,4.001027202606201,,16.100495199761937,,,9.731808513606666e-05,,55742,,,,,,,,59.30555400848389,,,,
572,,3.996024031639099,,16.05836812871676,,,8.609031530795619e-05,,56633,,,,,,,,58.104369201660155,,,,
581,,3.995353000164032,,15.930090907178514,,,9.030096931383014e-05,,57524,,,,,,,,58.66910743713379,,,,
590,,4.003359582424164,,16.86015165573668,,,8.648210739920615e-05,,58415,,,,,,,,59.08189929962158,,,,
599,,4.002892782688141,,14.27348073636026,,,8.635885780677199e-05,,59306,,,,,,,,58.04379451751709,,,,
608,,4.001231200695038,,15.587311610351366,,,9.150862093520118e-05,,60197,,,,,,,,58.48784744262695,,,,
617,,3.9996039938926695,,15.652353527285271,,,9.322082361904904e-05,,61088,,,,,,,,57.68268493652344,,,,
626,,4.024348726272583,,16.728924154421772,,,0.00010111445197253489,,61979,,,,,,,,58.565966300964355,,,,
635,,3.9978659844398496,,16.75424648069291,,,8.85796516740811e-05,,62870,,,,,,,,57.47007808685303,,,,
644,17.505817927426452,4.012939586639404,0.20009369,16.526368104693265,0.32172167,0.18451215,9.557489876897307e-05,15.787652216797706,63761,0.17505817,24.035408,0.21954934,15.787652,17.505817,0.15787652,135,58.23999515533447,0.16865689,144,0.24035406,18.451216
653,,4.010475723743439,,15.874421406721211,,,9.09752781080897e-05,,64652,,,,,,,,57.791414756774905,,,,
662,,4.015972754955292,,18.234912906805775,,,9.286632361181546e-05,,65543,,,,,,,,58.316428108215334,,,,
671,,4.010763552188873,,14.673374687078892,,,9.043819234648254e-05,,66434,,,,,,,,58.24824859619141,,,,
680,,4.050070376396179,,14.726801837050902,,,8.63332140215789e-05,,67325,,,,,,,,59.632834854125974,,,,
689,,4.04170295715332,,16.0152194816346,,,8.92098337499192e-05,,68216,,,,,,,,58.69932369232178,,,,
698,,4.053953363895416,,16.12049927397729,,,9.468635202210863e-05,,69107,,,,,,,,59.462107467651364,,,,
707,,4.061949412822724,,16.018231381492292,,,9.23067358598928e-05,,69998,,,,,,,,59.57772712707519,,,,
716,,4.046254901885987,,16.848551018404315,,,8.864567171258386e-05,,70889,,,,,,,,58.58380783081055,,,,
725,,4.05024628162384,,18.150975127524493,,,9.359054660308174e-05,,71780,,,,,,,,58.72375179290771,,,,
734,17.44867591415819,4.045456781387329,0.18394944,17.685828476693118,0.26925147,0.23705308,9.065119280421641e-05,17.404252369491328,72671,0.17448676,23.84969,0.25666028,17.404255,17.448677,0.17404252,153,58.29174045562744,0.18007535,162,0.23849687,23.70531
743,,4.0723785042762755,,16.77031367373587,,,8.869248147675535e-05,,73562,,,,,,,,58.79578151702881,,,,
752,,4.073482193946838,,17.107094275370503,,,9.14860975171905e-05,,74453,,,,,,,,58.957121505737305,,,,
761,,4.082448711395264,,16.394961945989067,,,8.772015040449332e-05,,75344,,,,,,,,58.876172904968264,,,,
770,,4.0904338383674625,,16.886587079426008,,,8.683015290444019e-05,,76235,,,,,,,,59.18741779327392,,,,
779,,4.081421654224396,,15.621530897262822,,,8.997003540571313e-05,,77126,,,,,,,,59.20136276245117,,,,
788,,4.071896600723266,,16.8341010155277,,,8.76219531710376e-05,,78017,,,,,,,,58.478192558288576,,,,
797,,4.079157252311706,,16.825219440565647,,,8.68371765318443e-05,,78908,,,,,,,,58.76529342651367,,,,
806,,4.080537195205689,,16.195683771073305,,,8.170768396666971e-05,,79799,,,,,,,,58.29781940460205,,,,
815,,4.082572112083435,,15.591274671438132,,,8.122637365886475e-05,,80690,,,,,,,,58.38477531433105,,,,
824,16.67452451930989,4.089420168399811,0.17218144,16.44041952654159,0.23100445,0.1514386,8.782203276496148e-05,14.770031988877236,81581,0.16674523,21.333628,0.14526443,14.770033,16.674524,0.14770032,171,59.1378702545166,0.14580064,180,0.21333629,15.14386
833,,4.1416617465019225,,16.661720471594577,,,9.090035127883312e-05,,82472,,,,,,,,60.85480869293213,,,,
842,,4.109974598884582,,15.414383125099265,,,8.896887469745706e-05,,83363,,,,,,,,60.52336940765381,,,,
851,,4.131719765663147,,14.800162757198784,,,8.68357169747469e-05,,84254,,,,,,,,60.172262802124024,,,,
860,,4.1474335622787475,,15.890119570559875,,,8.856720676703845e-05,,85145,,,,,,,,60.66128173828125,,,,
869,,4.135772154331208,,15.54514742650414,,,9.25902107701404e-05,,86036,,,,,,,,60.27674633026123,,,,
878,,4.1466028690338135,,16.26463837683391,,,9.077809874725063e-05,,86927,,,,,,,,60.32224418640137,,,,
887,,4.14913432598114,,17.847732942252733,,,9.057903356733732e-05,,87818,,,,,,,,59.851190071105954,,,,
896,,4.176195476055145,,15.808642837565325,,,9.275876414903906e-05,,88709,,,,,,,,60.537712783813475,,,,
905,,4.155137329101563,,15.927710397442505,,,8.798242146440316e-05,,89600,,,,,,,,59.76815784454346,,,,
