num_episodes,train_info_final_normalized_performance,train_rewards,train_test_episodes,eval_test_rewards,eval_info_final_normalized_performance,eval_info_sum_normalized_performance,train_info_final_performance,eval_info_sum_performance,eval_info_avarage_normalized_performance,train_info_avarage_normalized_performance,train_info_avarage_performance,num_steps,observation_loss,train_info_sum_performance,eval_info_avarage_performance,kl_loss,eval_test_episodes,train_info_sum_normalized_performance,reward_loss,eval_info_final_performance,train_test_rewards
2495,,-5.906792244315147,,,,,,,,,,72360,35.575506439208986,,,4.329887385368347,,,8.292210339277517e-05,,
2525,,-6.386828516423702,,,,,,,,,,73230,35.83828247070313,,,4.328796410560608,,,7.387680496321991e-05,,
2555,,-6.188853389024734,,,,,,,,,,74100,35.650599784851075,,,4.346260280609131,,,8.470399916404858e-05,,
2585,,-6.269361694157124,,,,,,,,,,74970,35.61741870880127,,,4.343734974861145,,,8.712084923899966e-05,,
2615,,-5.9003739555676775,,,,,,,,,,75840,35.76370662689209,,,4.355876774787903,,,8.261561040853849e-05,,
2645,,-5.725623145202795,,,,,,,,,,76710,35.504953155517576,,,4.355566835403442,,,8.839736980007728e-05,,
2675,,-5.910314213732878,,,,,,,,,,77580,35.39778003692627,,,4.374463315010071,,,0.00010073331301100551,,
2705,,-5.9540385415156685,,,,,,,,,,78450,35.40534786224365,,,4.360367555618286,,,8.528005029802444e-05,,
2735,0.4481983,-5.832660716275374,570,-5.848193869491419,0.4564876,13.617122,-0.19697662,-5.8481936,0.45390403,0.44668943,-0.1975152,79320,35.02674388885498,-5.925456,-0.19493979,4.3573281908035275,600,13.4006815,8.217611703003058e-05,-0.19401754,-5.925456177691618
2765,,-5.932954728603363,,,,,,,,,,80190,35.00168388366699,,,4.375878257751465,,,6.853726459667087e-05,,
2795,,-6.118312805394331,,,,,,,,,,81060,34.91043960571289,,,4.394556956291199,,,6.197856324433814e-05,,
2825,,-5.937121357520422,,,,,,,,,,81930,34.99257095336914,,,4.397763934135437,,,6.74940650787903e-05,,
2855,,-5.8128960356116295,,,,,,,,,,82800,35.25950366973877,,,4.41580666065216,,,6.829042826211662e-05,,
2885,,-5.852322603265445,,,,,,,,,,83670,35.15966396331787,,,4.423784065246582,,,6.976247255806812e-05,,
2915,,-5.895666258037091,,,,,,,,,,84540,34.62686775207519,,,4.436563019752502,,,6.402884335329873e-05,,
2945,,-5.9050278380513195,,,,,,,,,,85410,34.65662292480469,,,4.432176027297974,,,9.160664712908329e-05,,
2975,,-6.147177081306776,,,,,,,,,,86280,35.12235694885254,,,4.453768367767334,,,7.615091273692087e-05,,
3005,,-6.078760932385921,,,,,,,,,,87150,34.98473560333252,,,4.456252322196961,,,7.482454529963433e-05,,
